Jahr,Temperatur-Minimum(C),Temperatur-Mittelwert(C),Temperatur-Maximum(C),Bodentemperatur-Minimum(C),Sonnenstunden(h),Relative Luftfeuchtigkeit(%),Regen(mm),Niederschlagsform(num),Schnee(cm),Neuschnee(cm),Windgeschwindigkeit-Maximum(km/h),Windgeschwindigkeit-Mittelwert(km/h)
1948-01-01,-5,-1.8,0.8,-4.7,n/A,89,5.7,8,4,n/A,n/A,n/A
1948-01-02,-2.7,4.4,6.8,-2.5,n/A,95,3.3,1,8,n/A,n/A,n/A
1948-01-03,5.2,8.5,10.6,4.6,n/A,86,4,1,0,n/A,n/A,n/A
1948-01-04,6.6,10.2,11.5,4.7,n/A,83,0.2,1,0,n/A,n/A,n/A
1948-01-05,8,10.5,12,5.9,n/A,78,2,1,0,n/A,n/A,n/A
1948-01-06,1.8,3.3,10.8,2.9,n/A,75,0,0,0,n/A,n/A,n/A
1948-01-07,-0.9,2.9,5.2,-2,n/A,96,1.5,1,0,n/A,n/A,n/A
1948-01-08,4.7,6.2,9.5,4,n/A,74,7.8,8,0,n/A,n/A,n/A
1948-01-09,-0.2,0.4,4.7,-2.2,n/A,86,2.1,7,0,n/A,n/A,n/A
1948-01-10,-1.2,0.7,3,-3,n/A,92,8.4,8,0,n/A,n/A,n/A
1948-01-11,-4.9,-3,-0.1,-6.1,n/A,79,0,7,1,n/A,n/A,n/A
1948-01-12,-2.8,3.8,7,-4,n/A,85,8.5,1,1,n/A,n/A,n/A
1948-01-13,4.2,9.3,11.4,4.1,n/A,92,33.4,1,0,n/A,n/A,n/A
1948-01-14,4.2,5.7,11.9,4.8,n/A,80,3.8,1,0,n/A,n/A,n/A
1948-01-15,-0.9,0.5,4.6,1,n/A,87,0.4,8,0,n/A,n/A,n/A
1948-01-16,-2.3,-1.7,0.2,-3.2,n/A,74,0.7,7,1,n/A,n/A,n/A
1948-01-17,-4.7,-2.8,-1.6,-5.7,n/A,90,0,0,1,n/A,n/A,n/A
1948-01-18,-2.5,0.7,2.5,-5,n/A,88,3.9,7,2,n/A,n/A,n/A
1948-01-19,-0.7,0,2.7,-3.6,n/A,92,0,0,0,n/A,n/A,n/A
1948-01-20,-5,-0.7,3.4,-5.1,n/A,92,0,0,0,n/A,n/A,n/A
1948-01-21,-1.7,-0.4,0.7,-3.4,n/A,78,0,0,0,n/A,n/A,n/A
1948-01-22,-2.6,-1,1.4,-5,n/A,78,0,7,0,n/A,n/A,n/A
