"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"TNK_MN004","433","19480101","-5","0","5"
"TNK_MN004","433","19480102","-2.7","0","5"
"TNK_MN004","433","19480103","5.2","0","5"
"TNK_MN004","433","19480104","6.6","0","5"
"TNK_MN004","433","19480105","8","0","5"
"TNK_MN004","433","19480106","1.8","0","5"
"TNK_MN004","433","19480107","-0.9","0","5"
"TNK_MN004","433","19480108","4.7","0","5"
"TNK_MN004","433","19480109","-0.2","0","5"
"TNK_MN004","433","19480110","-1.2","0","5"
"TNK_MN004","433","19480111","-4.9","0","5"
"TNK_MN004","433","19480112","-2.8","0","5"
"TNK_MN004","433","19480113","4.2","0","5"
"TNK_MN004","433","19480114","4.2","0","5"
"TNK_MN004","433","19480115","-0.9","0","5"
"TNK_MN004","433","19480116","-2.3","0","5"
"TNK_MN004","433","19480117","-4.7","0","5"
"TNK_MN004","433","19480118","-2.5","0","5"
"TNK_MN004","433","19480119","-0.7","0","5"
"TNK_MN004","433","19480120","-5","0","5"
"TNK_MN004","433","19480121","-1.7","0","5"
"TNK_MN004","433","19480122","-2.6","0","5"
"TNK_MN004","433","19480123","-1.9","0","5"
"TNK_MN004","433","19480124","-1.3","0","5"
"TNK_MN004","433","19480125","-1.4","0","5"
"TNK_MN004","433","19480126","-1.5","0","5"
"TNK_MN004","433","19480127","-0.2","0","5"
"TNK_MN004","433","19480128","1.1","0","5"
"TNK_MN004","433","19480129","-0.5","0","5"
"TNK_MN004","433","19480130","0.9","0","5"
"TNK_MN004","433","19480131","6","0","5"
"TNK_MN004","433","19480201","5.9","0","5"
"TNK_MN004","433","19480202","3.5","0","5"
"TNK_MN004","433","19480203","7","0","5"
"TNK_MN004","433","19480204","2.2","0","5"
"TNK_MN004","433","19480205","3.7","0","5"
"TNK_MN004","433","19480206","2.9","0","5"
"TNK_MN004","433","19480207","1.1","0","5"
"TNK_MN004","433","19480208","2.5","0","5"
"TNK_MN004","433","19480209","2.3","0","5"
"TNK_MN004","433","19480210","2.1","0","5"
"TNK_MN004","433","19480211","1.3","0","5"
"TNK_MN004","433","19480212","0.1","0","5"
"TNK_MN004","433","19480213","1.7","0","5"
"TNK_MN004","433","19480214","0.4","0","5"
"TNK_MN004","433","19480215","-0.9","0","5"
"TNK_MN004","433","19480216","-3.2","0","5"
"TNK_MN004","433","19480217","-3.3","0","5"
"TNK_MN004","433","19480218","-5.1","0","5"
"TNK_MN004","433","19480219","-9.2","0","5"
"TNK_MN004","433","19480220","-13.3","0","5"
"TNK_MN004","433","19480221","-13.7","0","5"
"TNK_MN004","433","19480222","-10.2","0","5"
"TNK_MN004","433","19480223","-6.1","0","5"
"TNK_MN004","433","19480224","-8","0","5"
"TNK_MN004","433","19480225","-4.5","0","5"
"TNK_MN004","433","19480226","-6.8","0","5"
