"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"TMK_MN004","433","19480101","-1.8","4","5"
"TMK_MN004","433","19480102","4.4","4","5"
"TMK_MN004","433","19480103","8.5","4","5"
"TMK_MN004","433","19480104","10.2","4","5"
"TMK_MN004","433","19480105","10.5","4","5"
"TMK_MN004","433","19480106","3.3","4","5"
"TMK_MN004","433","19480107","2.9","4","5"
"TMK_MN004","433","19480108","6.2","4","5"
"TMK_MN004","433","19480109","0.4","4","5"
"TMK_MN004","433","19480110","0.7","4","5"
"TMK_MN004","433","19480111","-3","4","5"
"TMK_MN004","433","19480112","3.8","4","5"
"TMK_MN004","433","19480113","9.3","4","5"
"TMK_MN004","433","19480114","5.7","4","5"
"TMK_MN004","433","19480115","0.5","4","5"
"TMK_MN004","433","19480116","-1.7","4","5"
"TMK_MN004","433","19480117","-2.8","4","5"
"TMK_MN004","433","19480118","0.7","4","5"
"TMK_MN004","433","19480119","0","4","5"
"TMK_MN004","433","19480120","-0.7","4","5"
"TMK_MN004","433","19480121","-0.4","4","5"
"TMK_MN004","433","19480122","-1","4","5"
"TMK_MN004","433","19480123","0.4","4","5"
"TMK_MN004","433","19480124","0","4","5"
"TMK_MN004","433","19480125","0.3","4","5"
"TMK_MN004","433","19480126","2.4","4","5"
"TMK_MN004","433","19480127","2.2","4","5"
"TMK_MN004","433","19480128","3.1","4","5"
"TMK_MN004","433","19480129","3","4","5"
"TMK_MN004","433","19480130","5.9","4","5"
"TMK_MN004","433","19480131","8.4","4","5"
"TMK_MN004","433","19480201","6.8","4","5"
"TMK_MN004","433","19480202","7.6","4","5"
"TMK_MN004","433","19480203","8.6","4","5"
"TMK_MN004","433","19480204","4.9","4","5"
"TMK_MN004","433","19480205","5.2","4","5"
"TMK_MN004","433","19480206","4.8","4","5"
"TMK_MN004","433","19480207","3.2","4","5"
"TMK_MN004","433","19480208","6.1","4","5"
"TMK_MN004","433","19480209","5.3","4","5"
