"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"TXK_MN004","433","19480101","0.8","0","5"
"TXK_MN004","433","19480102","6.8","0","5"
"TXK_MN004","433","19480103","10.6","0","5"
"TXK_MN004","433","19480104","11.5","0","5"
"TXK_MN004","433","19480105","12","0","5"
"TXK_MN004","433","19480106","10.8","0","5"
"TXK_MN004","433","19480107","5.2","0","5"
"TXK_MN004","433","19480108","9.5","0","5"
"TXK_MN004","433","19480109","4.7","0","5"
"TXK_MN004","433","19480110","3","0","5"
"TXK_MN004","433","19480111","-0.1","0","5"
"TXK_MN004","433","19480112","7","0","5"
"TXK_MN004","433","19480113","11.4","0","5"
"TXK_MN004","433","19480114","11.9","0","5"
"TXK_MN004","433","19480115","4.6","0","5"
"TXK_MN004","433","19480116","0.2","0","5"
"TXK_MN004","433","19480117","-1.6","0","5"
"TXK_MN004","433","19480118","2.5","0","5"
"TXK_MN004","433","19480119","2.7","0","5"
"TXK_MN004","433","19480120","3.4","0","5"
"TXK_MN004","433","19480121","0.7","0","5"
"TXK_MN004","433","19480122","1.4","0","5"
"TXK_MN004","433","19480123","2.1","0","5"
"TXK_MN004","433","19480124","1","0","5"
"TXK_MN004","433","19480125","2.3","0","5"
"TXK_MN004","433","19480126","7","0","5"
"TXK_MN004","433","19480127","4.8","0","5"
"TXK_MN004","433","19480128","4.3","0","5"
"TXK_MN004","433","19480129","5.5","0","5"
"TXK_MN004","433","19480130","8.6","0","5"
"TXK_MN004","433","19480131","10.8","0","5"
"TXK_MN004","433","19480201","9.4","0","5"
"TXK_MN004","433","19480202","10.4","0","5"
"TXK_MN004","433","19480203","11.9","0","5"
"TXK_MN004","433","19480204","7.5","0","5"
"TXK_MN004","433","19480205","6.7","0","5"
"TXK_MN004","433","19480206","5.9","0","5"
"TXK_MN004","433","19480207","5.4","0","5"
"TXK_MN004","433","19480208","7.5","0","5"
"TXK_MN004","433","19480209","7.8","0","5"
"TXK_MN004","433","19480210","6.1","0","5"
"TXK_MN004","433","19480211","2.6","0","5"
"TXK_MN004","433","19480212","5.4","0","5"
"TXK_MN004","433","19480213","5.8","0","5"
"TXK_MN004","433","19480214","3.6","0","5"
"TXK_MN004","433","19480215","2","0","5"
"TXK_MN004","433","19480216","1","0","5"
"TXK_MN004","433","19480217","-1.3","0","5"
"TXK_MN004","433","19480218","-1","0","5"
"TXK_MN004","433","19480219","-4.5","0","5"
"TXK_MN004","433","19480220","-8.1","0","5"
"TXK_MN004","433","19480221","-7.2","0","5"
"TXK_MN004","433","19480222","-5.8","0","5"
"TXK_MN004","433","19480223","-3.2","0","5"
"TXK_MN004","433","19480224","0.9","0","5"
"TXK_MN004","433","19480225","0.8","0","5"
"TXK_MN004","433","19480226","-1.1","0","5"
"TXK_MN004","433","19480227","1.8","0","5"
"TXK_MN004","433","19480228","7.7","0","5"
"TXK_MN004","433","19480229","4.4","0","5"
"TXK_MN004","433","19480301","2.8","0","5"
"TXK_MN004","433","19480302","5.8","0","5"
"TXK_MN004","433","19480303","8.7","0","5"
"TXK_MN004","433","19480304","5.5","0","5"
"TXK_MN004","433","19480305","4.1","0","5"
"TXK_MN004","433","19480306","12","0","5"
"TXK_MN004","433","19480307","11.4","0","5"
"TXK_MN004","433","19480308","12.2","0","5"
"TXK_MN004","433","19480309","10","0","5"
"TXK_MN004","433","19480310","13","0","5"
"TXK_MN004","433","19480311","10","0","5"
"TXK_MN004","433","19480312","9.5","0","5"
"TXK_MN004","433","19480313","10.5","0","5"
"TXK_MN004","433","19480314","9.8","0","5"
"TXK_MN004","433","19480315","11","0","5"
"TXK_MN004","433","19480316","10.5","0","5"
"TXK_MN004","433","19480317","9","0","5"
"TXK_MN004","433","19480318","9","0","5"
"TXK_MN004","433","19480319","7.5","0","5"
"TXK_MN004","433","19480320","11.6","0","5"
"TXK_MN004","433","19480321","13.2","0","5"
"TXK_MN004","433","19480322","11","0","5"
"TXK_MN004","433","19480323","7.3","0","5"
"TXK_MN004","433","19480324","9.4","0","5"
"TXK_MN004","433","19480325","10.3","0","5"
"TXK_MN004","433","19480326","9.9","0","5"
"TXK_MN004","433","19480327","10.4","0","5"
"TXK_MN004","433","19480328","13.9","0","5"
"TXK_MN004","433","19480329","16.8","0","5"
"TXK_MN004","433","19480330","19.1","0","5"
"TXK_MN004","433","19480331","18.8","0","5"
"TXK_MN004","433","19480401","15.4","0","5"
"TXK_MN004","433","19480402","13.4","0","5"
"TXK_MN004","433","19480403","14.4","0","5"
"TXK_MN004","433","19480404","13.4","0","5"
"TXK_MN004","433","19480405","13.1","0","5"
"TXK_MN004","433","19480406","9.4","0","5"
"TXK_MN004","433","19480407","10.2","0","5"
"TXK_MN004","433","19480408","11.9","0","5"
"TXK_MN004","433","19480409","12.4","0","5"
"TXK_MN004","433","19480410","10.9","0","5"
"TXK_MN004","433","19480411","10.8","0","5"
"TXK_MN004","433","19480412","9.7","0","5"
"TXK_MN004","433","19480413","14.3","0","5"
"TXK_MN004","433","19480414","13","0","5"
"TXK_MN004","433","19480415","10.8","0","5"
"TXK_MN004","433","19480416","16.8","0","5"
"TXK_MN004","433","19480417","23.6","0","5"
"TXK_MN004","433","19480418","26.7","0","5"
"TXK_MN004","433","19480419","25.6","0","5"
"TXK_MN004","433","19480420","22.7","0","5"
"TXK_MN004","433","19480421","24.8","0","5"
"TXK_MN004","433","19480422","24","0","5"
"TXK_MN004","433","19480423","22.3","0","5"
"TXK_MN004","433","19480424","18.1","0","5"
"TXK_MN004","433","19480425","16.6","0","5"
"TXK_MN004","433","19480426","17.7","0","5"
"TXK_MN004","433","19480427","16.7","0","5"
"TXK_MN004","433","19480428","22.2","0","5"
"TXK_MN004","433","19480429","20.4","0","5"
"TXK_MN004","433","19480430","20.5","0","5"
"TXK_MN004","433","19480501","13.8","0","5"
"TXK_MN004","433","19480502","17.7","0","5"
"TXK_MN004","433","19480503","19","0","5"
"TXK_MN004","433","19480504","17","0","5"
"TXK_MN004","433","19480505","20.8","0","5"
"TXK_MN004","433","19480506","25.2","0","5"
"TXK_MN004","433","19480507","22.4","0","5"
"TXK_MN004","433","19480508","22.5","0","5"
"TXK_MN004","433","19480509","26.1","0","5"
"TXK_MN004","433","19480510","25","0","5"
"TXK_MN004","433","19480511","27.2","0","5"
"TXK_MN004","433","19480512","24.3","0","5"
"TXK_MN004","433","19480513","24.6","0","5"
"TXK_MN004","433","19480514","21.9","0","5"
"TXK_MN004","433","19480515","23","0","5"
"TXK_MN004","433","19480516","22.5","0","5"
"TXK_MN004","433","19480517","22.3","0","5"
"TXK_MN004","433","19480518","18","0","5"
"TXK_MN004","433","19480519","18.2","0","5"
"TXK_MN004","433","19480520","17","0","5"
"TXK_MN004","433","19480521","12.5","0","5"
"TXK_MN004","433","19480522","18.8","0","5"
"TXK_MN004","433","19480523","15.9","0","5"
"TXK_MN004","433","19480524","26.1","0","5"
"TXK_MN004","433","19480525","20.5","0","5"
"TXK_MN004","433","19480526","25.6","0","5"
"TXK_MN004","433","19480527","16.7","0","5"
"TXK_MN004","433","19480528","17.5","0","5"
"TXK_MN004","433","19480529","14.7","0","5"
"TXK_MN004","433","19480530","15.6","0","5"
"TXK_MN004","433","19480531","16.2","0","5"
"TXK_MN004","433","19480601","22.6","0","5"
"TXK_MN004","433","19480602","24.6","0","5"
"TXK_MN004","433","19480603","17.8","0","5"
"TXK_MN004","433","19480604","18.8","0","5"
"TXK_MN004","433","19480605","19.3","0","5"
"TXK_MN004","433","19480606","24.4","0","5"
"TXK_MN004","433","19480607","28.8","0","5"
"TXK_MN004","433","19480608","26.6","0","5"
"TXK_MN004","433","19480609","29.6","0","5"
"TXK_MN004","433","19480610","30.8","0","5"
