"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"TGK_MN004","433","19480101","-4.7","0","5"
"TGK_MN004","433","19480102","-2.5","0","5"
"TGK_MN004","433","19480103","4.6","0","5"
"TGK_MN004","433","19480104","4.7","0","5"
"TGK_MN004","433","19480105","5.9","0","5"
"TGK_MN004","433","19480106","2.9","0","5"
"TGK_MN004","433","19480107","-2","0","5"
"TGK_MN004","433","19480108","4","0","5"
"TGK_MN004","433","19480109","-2.2","0","5"
"TGK_MN004","433","19480110","-3","0","5"
"TGK_MN004","433","19480111","-6.1","0","5"
"TGK_MN004","433","19480112","-4","0","5"
"TGK_MN004","433","19480113","4.1","0","5"
"TGK_MN004","433","19480114","4.8","0","5"
"TGK_MN004","433","19480115","1","0","5"
"TGK_MN004","433","19480116","-3.2","0","5"
"TGK_MN004","433","19480117","-5.7","0","5"
"TGK_MN004","433","19480118","-5","0","5"
"TGK_MN004","433","19480119","-3.6","0","5"
"TGK_MN004","433","19480120","-5.1","0","5"
"TGK_MN004","433","19480121","-3.4","0","5"
"TGK_MN004","433","19480122","-5","0","5"
"TGK_MN004","433","19480123","-4.7","0","5"
"TGK_MN004","433","19480124","-4","0","5"
"TGK_MN004","433","19480125","-3","0","5"
"TGK_MN004","433","19480126","-3.2","0","5"
"TGK_MN004","433","19480127","-2.7","0","5"
"TGK_MN004","433","19480128","-1.8","0","5"
"TGK_MN004","433","19480129","-2.4","0","5"
"TGK_MN004","433","19480130","-1.5","0","5"
"TGK_MN004","433","19480131","3.6","0","5"
"TGK_MN004","433","19480201","2.5","0","5"
"TGK_MN004","433","19480202","1.6","0","5"
"TGK_MN004","433","19480203","5.7","0","5"
"TGK_MN004","433","19480204","0.8","0","5"
"TGK_MN004","433","19480205","2.5","0","5"
"TGK_MN004","433","19480206","0.7","0","5"
"TGK_MN004","433","19480207","1","0","5"
"TGK_MN004","433","19480208","1","0","5"
"TGK_MN004","433","19480209","1.4","0","5"
"TGK_MN004","433","19480210","1.5","0","5"
"TGK_MN004","433","19480211","0","0","5"
"TGK_MN004","433","19480212","-0.9","0","5"
"TGK_MN004","433","19480213","0.3","0","5"
"TGK_MN004","433","19480214","-1.4","0","5"
"TGK_MN004","433","19480215","-3","0","5"
"TGK_MN004","433","19480216","-4.6","0","5"
"TGK_MN004","433","19480217","-5.3","0","5"
"TGK_MN004","433","19480218","-5.5","0","5"
"TGK_MN004","433","19480219","-8.4","0","5"
"TGK_MN004","433","19480220","-14","0","5"
"TGK_MN004","433","19480221","-15","0","5"
"TGK_MN004","433","19480222","-15","0","5"
"TGK_MN004","433","19480223","-6.8","0","5"
"TGK_MN004","433","19480224","-11.9","0","5"
"TGK_MN004","433","19480225","-9.6","0","5"
"TGK_MN004","433","19480226","-7.9","0","5"
"TGK_MN004","433","19480227","-9.4","0","5"
"TGK_MN004","433","19480228","-7.9","0","5"
"TGK_MN004","433","19480229","-9.3","0","5"
"TGK_MN004","433","19480301","-3.1","0","5"
"TGK_MN004","433","19480302","-5.6","0","5"
"TGK_MN004","433","19480303","-4.6","0","5"
"TGK_MN004","433","19480304","-5.3","0","5"
"TGK_MN004","433","19480305","-4.9","0","5"
"TGK_MN004","433","19480306","-4.6","0","5"
"TGK_MN004","433","19480307","-3.5","0","5"
"TGK_MN004","433","19480308","1","0","5"
"TGK_MN004","433","19480309","7.1","0","5"
"TGK_MN004","433","19480310","7","0","5"
"TGK_MN004","433","19480311","3.4","0","5"
"TGK_MN004","433","19480312","4.2","0","5"
"TGK_MN004","433","19480313","5","0","5"
"TGK_MN004","433","19480314","-0.7","0","5"
"TGK_MN004","433","19480315","-1.4","0","5"
"TGK_MN004","433","19480316","6.5","0","5"
"TGK_MN004","433","19480317","1.4","0","5"
"TGK_MN004","433","19480318","1","0","5"
"TGK_MN004","433","19480319","1","0","5"
"TGK_MN004","433","19480320","4.3","0","5"
"TGK_MN004","433","19480321","7.6","0","5"
"TGK_MN004","433","19480322","7.5","0","5"
"TGK_MN004","433","19480323","1.2","0","5"
"TGK_MN004","433","19480324","0.6","0","5"
"TGK_MN004","433","19480325","0.3","0","5"
"TGK_MN004","433","19480326","-1","0","5"
"TGK_MN004","433","19480327","-2.5","0","5"
"TGK_MN004","433","19480328","-2.7","0","5"
"TGK_MN004","433","19480329","-0.3","0","5"
"TGK_MN004","433","19480330","0","0","5"
"TGK_MN004","433","19480331","1.6","0","5"
"TGK_MN004","433","19480401","6","0","5"
"TGK_MN004","433","19480402","4","0","5"
"TGK_MN004","433","19480403","3","0","5"
"TGK_MN004","433","19480404","2.6","0","5"
"TGK_MN004","433","19480405","4","0","5"
"TGK_MN004","433","19480406","5.6","0","5"
"TGK_MN004","433","19480407","-0.3","0","5"
"TGK_MN004","433","19480408","2.2","0","5"
"TGK_MN004","433","19480409","3.1","0","5"
"TGK_MN004","433","19480410","3.9","0","5"
"TGK_MN004","433","19480411","-0.1","0","5"
"TGK_MN004","433","19480412","4.2","0","5"
