"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"SDK_MN004","433","19701117","5.2","0","5"
"SDK_MN004","433","19701118","0.1","0","5"
"SDK_MN004","433","19701119","0","0","5"
"SDK_MN004","433","19701120","4.1","0","5"
"SDK_MN004","433","19701121","0","0","5"
"SDK_MN004","433","19701122","0","0","5"
"SDK_MN004","433","19701123","0","0","5"
"SDK_MN004","433","19701124","3.9","0","5"
"SDK_MN004","433","19701125","6.1","0","5"
"SDK_MN004","433","19701126","2","0","5"
"SDK_MN004","433","19701127","0","0","5"
"SDK_MN004","433","19701128","0","0","5"
"SDK_MN004","433","19701129","0","0","5"
"SDK_MN004","433","19701130","0.6","0","5"
"SDK_MN004","433","19701201","2.2","0","5"
"SDK_MN004","433","19701202","0.2","0","5"
"SDK_MN004","433","19701203","0","0","5"
"SDK_MN004","433","19701204","1","0","5"
"SDK_MN004","433","19701205","0","0","5"
"SDK_MN004","433","19701206","2.9","0","5"
"SDK_MN004","433","19701207","0.4","0","5"
"SDK_MN004","433","19701208","2.9","0","5"
"SDK_MN004","433","19701209","0","0","5"
"SDK_MN004","433","19701210","0","0","5"
"SDK_MN004","433","19701211","0","0","5"
"SDK_MN004","433","19701212","0","0","5"
"SDK_MN004","433","19701213","0","0","5"
"SDK_MN004","433","19701214","0","0","5"
"SDK_MN004","433","19701215","0.6","0","5"
"SDK_MN004","433","19701216","0","0","5"
"SDK_MN004","433","19701217","5.2","0","5"
"SDK_MN004","433","19701218","0","0","5"
"SDK_MN004","433","19701219","0","0","5"
"SDK_MN004","433","19701220","0","0","5"
"SDK_MN004","433","19701221","0.3","0","5"
"SDK_MN004","433","19701222","4.3","0","5"
"SDK_MN004","433","19701223","2.2","0","5"
"SDK_MN004","433","19701224","1.1","0","5"
"SDK_MN004","433","19701225","2.8","0","5"
"SDK_MN004","433","19701226","0","0","5"
"SDK_MN004","433","19701227","0","0","5"
"SDK_MN004","433","19701228","0","0","5"
"SDK_MN004","433","19701229","0","0","5"
"SDK_MN004","433","19701230","0","0","5"
"SDK_MN004","433","19701231","0.3","0","5"
"SDK_MN004","433","19710101","1.4","0","5"
"SDK_MN004","433","19710102","4.8","0","5"
"SDK_MN004","433","19710103","5.1","0","5"
"SDK_MN004","433","19710104","3.5","0","5"
"SDK_MN004","433","19710105","0.8","0","5"
"SDK_MN004","433","19710106","0","0","5"
"SDK_MN004","433","19710107","5.4","0","5"
"SDK_MN004","433","19710108","0.1","0","5"
"SDK_MN004","433","19710109","0","0","5"
"SDK_MN004","433","19710110","6.2","0","5"
"SDK_MN004","433","19710111","6.3","0","5"
"SDK_MN004","433","19710112","6.2","0","5"
"SDK_MN004","433","19710113","4.1","0","5"
"SDK_MN004","433","19710114","4.8","0","5"
"SDK_MN004","433","19710115","6.2","0","5"
"SDK_MN004","433","19710116","0","0","5"
"SDK_MN004","433","19710117","0","0","5"
"SDK_MN004","433","19710118","3","0","5"
"SDK_MN004","433","19710119","0","0","5"
"SDK_MN004","433","19710120","1.5","0","5"
"SDK_MN004","433","19710121","0","0","5"
"SDK_MN004","433","19710122","0.4","0","5"
"SDK_MN004","433","19710123","4.7","0","5"
"SDK_MN004","433","19710124","3.5","0","5"
"SDK_MN004","433","19710125","1.4","0","5"
"SDK_MN004","433","19710126","0.9","0","5"
"SDK_MN004","433","19710127","0.5","0","5"
"SDK_MN004","433","19710128","0.1","0","5"
"SDK_MN004","433","19710129","0","0","5"
"SDK_MN004","433","19710130","4.6","0","5"
"SDK_MN004","433","19710131","2.8","0","5"
"SDK_MN004","433","19710201","0.3","0","5"
"SDK_MN004","433","19710202","7.8","0","5"
"SDK_MN004","433","19710203","0","0","5"
"SDK_MN004","433","19710204","6","0","5"
"SDK_MN004","433","19710205","0","0","5"
"SDK_MN004","433","19710206","0.1","0","5"
"SDK_MN004","433","19710207","0","0","5"
"SDK_MN004","433","19710208","0","0","5"
"SDK_MN004","433","19710209","0","0","5"
"SDK_MN004","433","19710210","0","0","5"
"SDK_MN004","433","19710211","2.4","0","5"
"SDK_MN004","433","19710212","1.1","0","5"
"SDK_MN004","433","19710213","0.5","0","5"
"SDK_MN004","433","19710214","4.6","0","5"
"SDK_MN004","433","19710215","5.8","0","5"
"SDK_MN004","433","19710216","5.6","0","5"
"SDK_MN004","433","19710217","1.5","0","5"
"SDK_MN004","433","19710218","2.2","0","5"
"SDK_MN004","433","19710219","1.9","0","5"
"SDK_MN004","433","19710220","5.5","0","5"
"SDK_MN004","433","19710221","3.2","0","5"
"SDK_MN004","433","19710222","0.3","0","5"
"SDK_MN004","433","19710223","0","0","5"
"SDK_MN004","433","19710224","0.1","0","5"
"SDK_MN004","433","19710225","3.9","0","5"
"SDK_MN004","433","19710226","1.2","0","5"
