"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"RS_MN006","433","19480101","5.7","0","5"
"RS_MN006","433","19480102","3.3","0","5"
"RS_MN006","433","19480103","4","0","5"
"RS_MN006","433","19480104","0.2","0","5"
"RS_MN006","433","19480105","2","0","5"
"RS_MN006","433","19480106","0","0","5"
"RS_MN006","433","19480107","1.5","0","5"
"RS_MN006","433","19480108","7.8","0","5"
"RS_MN006","433","19480109","2.1","0","5"
"RS_MN006","433","19480110","8.4","0","5"
"RS_MN006","433","19480111","0","0","5"
"RS_MN006","433","19480112","8.5","0","5"
"RS_MN006","433","19480113","33.4","0","5"
"RS_MN006","433","19480114","3.8","0","5"
"RS_MN006","433","19480115","0.4","0","5"
"RS_MN006","433","19480116","0.7","0","5"
"RS_MN006","433","19480117","0","0","5"
"RS_MN006","433","19480118","3.9","0","5"
"RS_MN006","433","19480119","0","0","5"
"RS_MN006","433","19480120","0","0","5"
"RS_MN006","433","19480121","0","0","5"
"RS_MN006","433","19480122","0","0","5"
"RS_MN006","433","19480123","0","0","5"
"RS_MN006","433","19480124","0","0","5"
"RS_MN006","433","19480125","0","0","5"
"RS_MN006","433","19480126","0","0","5"
"RS_MN006","433","19480127","0","0","5"
"RS_MN006","433","19480128","3.9","0","5"
"RS_MN006","433","19480129","0.1","0","5"
"RS_MN006","433","19480130","2","0","5"
"RS_MN006","433","19480131","0.3","0","5"
"RS_MN006","433","19480201","1.3","0","5"
"RS_MN006","433","19480202","1.4","0","5"
"RS_MN006","433","19480203","9.7","0","5"
"RS_MN006","433","19480204","4.5","0","5"
"RS_MN006","433","19480205","1.8","0","5"
"RS_MN006","433","19480206","8.8","0","5"
"RS_MN006","433","19480207","5.2","0","5"
"RS_MN006","433","19480208","0.8","0","5"
"RS_MN006","433","19480209","9.4","0","5"
"RS_MN006","433","19480210","0.2","0","5"
"RS_MN006","433","19480211","0","0","5"
"RS_MN006","433","19480212","5.6","0","5"
"RS_MN006","433","19480213","0","0","5"
"RS_MN006","433","19480214","0","0","5"
"RS_MN006","433","19480215","12.8","0","5"
"RS_MN006","433","19480216","0.9","0","5"
"RS_MN006","433","19480217","0","0","5"
"RS_MN006","433","19480218","0.9","0","5"
"RS_MN006","433","19480219","0","0","5"
"RS_MN006","433","19480220","0","0","5"
"RS_MN006","433","19480221","0","0","5"
"RS_MN006","433","19480222","7.8","0","5"
"RS_MN006","433","19480223","0","0","5"
"RS_MN006","433","19480224","0","0","5"
"RS_MN006","433","19480225","0","0","5"
"RS_MN006","433","19480226","0","0","5"
"RS_MN006","433","19480227","0","0","5"
"RS_MN006","433","19480228","0","0","5"
"RS_MN006","433","19480229","0","0","5"
"RS_MN006","433","19480301","0","0","5"
"RS_MN006","433","19480302","0","0","5"
"RS_MN006","433","19480303","0","0","5"
"RS_MN006","433","19480304","0","0","5"
"RS_MN006","433","19480305","0","0","5"
"RS_MN006","433","19480306","0","0","5"
"RS_MN006","433","19480307","0","0","5"
"RS_MN006","433","19480308","3.6","0","5"
"RS_MN006","433","19480309","0.1","0","5"
"RS_MN006","433","19480310","0","0","5"
"RS_MN006","433","19480311","0","0","5"
"RS_MN006","433","19480312","0","0","5"
"RS_MN006","433","19480313","0","0","5"
"RS_MN006","433","19480314","0","0","5"
"RS_MN006","433","19480315","0","0","5"
"RS_MN006","433","19480316","2.4","0","5"
"RS_MN006","433","19480317","1.4","0","5"
"RS_MN006","433","19480318","17.6","0","5"
"RS_MN006","433","19480319","0.7","0","5"
"RS_MN006","433","19480320","0","0","5"
"RS_MN006","433","19480321","0","0","5"
"RS_MN006","433","19480322","1.3","0","5"
"RS_MN006","433","19480323","0","0","5"
"RS_MN006","433","19480324","0","0","5"
"RS_MN006","433","19480325","0","0","5"
"RS_MN006","433","19480326","0","0","5"
"RS_MN006","433","19480327","0","0","5"
"RS_MN006","433","19480328","0","0","5"
"RS_MN006","433","19480329","0","0","5"
"RS_MN006","433","19480330","0","0","5"
"RS_MN006","433","19480331","0","0","5"
"RS_MN006","433","19480401","0","0","5"
"RS_MN006","433","19480402","0","0","5"
"RS_MN006","433","19480403","0.2","0","5"
"RS_MN006","433","19480404","0","0","5"
"RS_MN006","433","19480405","0.8","0","5"
"RS_MN006","433","19480406","2.8","0","5"
"RS_MN006","433","19480407","1.6","0","5"
"RS_MN006","433","19480408","4.6","0","5"
"RS_MN006","433","19480409","0.5","0","5"
"RS_MN006","433","19480410","0","0","5"
"RS_MN006","433","19480411","4","0","5"
"RS_MN006","433","19480412","0.4","0","5"
"RS_MN006","433","19480413","0","0","5"
"RS_MN006","433","19480414","0.2","0","5"
"RS_MN006","433","19480415","0","0","5"
"RS_MN006","433","19480416","0","0","5"
"RS_MN006","433","19480417","0","0","5"
"RS_MN006","433","19480418","0","0","5"
"RS_MN006","433","19480419","0","0","5"
"RS_MN006","433","19480420","0","0","5"
"RS_MN006","433","19480421","0","0","5"
"RS_MN006","433","19480422","0","0","5"
"RS_MN006","433","19480423","0","0","5"
"RS_MN006","433","19480424","0","0","5"
"RS_MN006","433","19480425","0","0","5"
"RS_MN006","433","19480426","0","0","5"
"RS_MN006","433","19480427","0","0","5"
"RS_MN006","433","19480428","0","0","5"
"RS_MN006","433","19480429","0","0","5"
"RS_MN006","433","19480430","7.9","0","5"
"RS_MN006","433","19480501","0","0","5"
"RS_MN006","433","19480502","0","0","5"
"RS_MN006","433","19480503","0","0","5"
"RS_MN006","433","19480504","8.6","0","5"
"RS_MN006","433","19480505","0","0","5"
"RS_MN006","433","19480506","1.1","0","5"
"RS_MN006","433","19480507","2.6","0","5"
"RS_MN006","433","19480508","1.2","0","5"
"RS_MN006","433","19480509","0","0","5"
"RS_MN006","433","19480510","0","0","5"
"RS_MN006","433","19480511","0.6","0","5"
"RS_MN006","433","19480512","0","0","5"
"RS_MN006","433","19480513","0","0","5"
"RS_MN006","433","19480514","0","0","5"
"RS_MN006","433","19480515","0","0","5"
"RS_MN006","433","19480516","0","0","5"
"RS_MN006","433","19480517","0","0","5"
"RS_MN006","433","19480518","0","0","5"
"RS_MN006","433","19480519","1","0","5"
"RS_MN006","433","19480520","1.2","0","5"
"RS_MN006","433","19480521","2.3","0","5"
"RS_MN006","433","19480522","0","0","5"
"RS_MN006","433","19480523","0","0","5"
"RS_MN006","433","19480524","0","0","5"
"RS_MN006","433","19480525","0","0","5"
"RS_MN006","433","19480526","1.5","0","5"
"RS_MN006","433","19480527","0","0","5"
"RS_MN006","433","19480528","2.2","0","5"
"RS_MN006","433","19480529","0.1","0","5"
"RS_MN006","433","19480530","0.6","0","5"
"RS_MN006","433","19480531","0","0","5"
"RS_MN006","433","19480601","0","0","5"
"RS_MN006","433","19480602","0.3","0","5"
"RS_MN006","433","19480603","0.3","0","5"
"RS_MN006","433","19480604","0","0","5"
"RS_MN006","433","19480605","0","0","5"
"RS_MN006","433","19480606","0","0","5"
"RS_MN006","433","19480607","0","0","5"
"RS_MN006","433","19480608","0","0","5"
"RS_MN006","433","19480609","0","0","5"
"RS_MN006","433","19480610","0","0","5"
"RS_MN006","433","19480611","0","0","5"
"RS_MN006","433","19480612","5.1","0","5"
"RS_MN006","433","19480613","0","0","5"
"RS_MN006","433","19480614","0","0","5"
"RS_MN006","433","19480615","3.5","0","5"
"RS_MN006","433","19480616","3.6","0","5"
"RS_MN006","433","19480617","3.9","0","5"
"RS_MN006","433","19480618","0.3","0","5"
"RS_MN006","433","19480619","1.3","0","5"
"RS_MN006","433","19480620","0","0","5"
"RS_MN006","433","19480621","0","0","5"
"RS_MN006","433","19480622","5.4","0","5"
"RS_MN006","433","19480623","2.5","0","5"
"RS_MN006","433","19480624","0","0","5"
"RS_MN006","433","19480625","0","0","5"
"RS_MN006","433","19480626","0.7","0","5"
"RS_MN006","433","19480627","7.6","0","5"
"RS_MN006","433","19480628","13.4","0","5"
"RS_MN006","433","19480629","4","0","5"
"RS_MN006","433","19480630","0","0","5"
"RS_MN006","433","19480701","3.7","0","5"
"RS_MN006","433","19480702","8.2","0","5"
"RS_MN006","433","19480703","0","0","5"
"RS_MN006","433","19480704","0","0","5"
"RS_MN006","433","19480705","1.3","0","5"
"RS_MN006","433","19480706","0","0","5"
"RS_MN006","433","19480707","7.2","0","5"
"RS_MN006","433","19480708","21.2","0","5"
"RS_MN006","433","19480709","0.3","0","5"
"RS_MN006","433","19480710","15.8","0","5"
"RS_MN006","433","19480711","2.6","0","5"
"RS_MN006","433","19480712","4.4","0","5"
"RS_MN006","433","19480713","22.4","0","5"
"RS_MN006","433","19480714","1.1","0","5"
"RS_MN006","433","19480715","0","0","5"
"RS_MN006","433","19480716","0.2","0","5"
"RS_MN006","433","19480717","0","0","5"
"RS_MN006","433","19480718","0","0","5"
"RS_MN006","433","19480719","0","0","5"
"RS_MN006","433","19480720","0","0","5"
"RS_MN006","433","19480721","0","0","5"
"RS_MN006","433","19480722","5.3","0","5"
"RS_MN006","433","19480723","0","0","5"
"RS_MN006","433","19480724","0","0","5"
"RS_MN006","433","19480725","0","0","5"
"RS_MN006","433","19480726","0","0","5"
"RS_MN006","433","19480727","0","0","5"
"RS_MN006","433","19480728","0","0","5"
"RS_MN006","433","19480729","0","0","5"
"RS_MN006","433","19480730","0","0","5"
"RS_MN006","433","19480731","0","0","5"
"RS_MN006","433","19480801","0","0","5"
"RS_MN006","433","19480802","0","0","5"
"RS_MN006","433","19480803","1.1","0","5"
"RS_MN006","433","19480804","0","0","5"
"RS_MN006","433","19480805","0","0","5"
"RS_MN006","433","19480806","0","0","5"
"RS_MN006","433","19480807","1.1","0","5"
"RS_MN006","433","19480808","3.5","0","5"
"RS_MN006","433","19480809","0","0","5"
"RS_MN006","433","19480810","0.2","0","5"
"RS_MN006","433","19480811","2.6","0","5"
"RS_MN006","433","19480812","28.8","0","5"
"RS_MN006","433","19480813","76.7","0","5"
"RS_MN006","433","19480814","0.7","0","5"
"RS_MN006","433","19480815","0","0","5"
"RS_MN006","433","19480816","0","0","5"
"RS_MN006","433","19480817","1.2","0","5"
"RS_MN006","433","19480818","7.9","0","5"
"RS_MN006","433","19480819","23.1","0","5"
"RS_MN006","433","19480820","0","0","5"
"RS_MN006","433","19480821","0","0","5"
"RS_MN006","433","19480822","4","0","5"
"RS_MN006","433","19480823","0","0","5"
"RS_MN006","433","19480824","0","0","5"
"RS_MN006","433","19480825","2.5","0","5"
"RS_MN006","433","19480826","0.3","0","5"
"RS_MN006","433","19480827","2","0","5"
"RS_MN006","433","19480828","0","0","5"
"RS_MN006","433","19480829","0","0","5"
"RS_MN006","433","19480830","0","0","5"
"RS_MN006","433","19480831","0","0","5"
"RS_MN006","433","19480901","0.3","0","5"
"RS_MN006","433","19480902","0","0","5"
"RS_MN006","433","19480903","0","0","5"
"RS_MN006","433","19480904","0","0","5"
"RS_MN006","433","19480905","0","0","5"
"RS_MN006","433","19480906","0.1","0","5"
"RS_MN006","433","19480907","0","0","5"
"RS_MN006","433","19480908","0","0","5"
"RS_MN006","433","19480909","0","0","5"
"RS_MN006","433","19480910","0","0","5"
"RS_MN006","433","19480911","0","0","5"
"RS_MN006","433","19480912","0","0","5"
"RS_MN006","433","19480913","0","0","5"
"RS_MN006","433","19480914","0","0","5"
"RS_MN006","433","19480915","0.1","0","5"
"RS_MN006","433","19480916","1.4","0","5"
"RS_MN006","433","19480917","0","0","5"
"RS_MN006","433","19480918","0","0","5"
"RS_MN006","433","19480919","0.1","0","5"
"RS_MN006","433","19480920","0.4","0","5"
"RS_MN006","433","19480921","0.5","0","5"
"RS_MN006","433","19480922","2.1","0","5"
"RS_MN006","433","19480923","0","0","5"
"RS_MN006","433","19480924","0","0","5"
"RS_MN006","433","19480925","0","0","5"
"RS_MN006","433","19480926","0","0","5"
"RS_MN006","433","19480927","0","0","5"
"RS_MN006","433","19480928","0","0","5"
"RS_MN006","433","19480929","0","0","5"
"RS_MN006","433","19480930","0","0","5"
"RS_MN006","433","19481001","0","0","5"
"RS_MN006","433","19481002","0.2","0","5"
"RS_MN006","433","19481003","6.2","0","5"
