"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"RSF_MN006","433","19480101","8","-999","5"
"RSF_MN006","433","19480102","1","-999","5"
"RSF_MN006","433","19480103","1","-999","5"
"RSF_MN006","433","19480104","1","-999","5"
"RSF_MN006","433","19480105","1","-999","5"
"RSF_MN006","433","19480106","0","-999","5"
"RSF_MN006","433","19480107","1","-999","5"
"RSF_MN006","433","19480108","8","-999","5"
"RSF_MN006","433","19480109","7","-999","5"
"RSF_MN006","433","19480110","8","-999","5"
"RSF_MN006","433","19480111","7","-999","5"
"RSF_MN006","433","19480112","1","-999","5"
"RSF_MN006","433","19480113","1","-999","5"
"RSF_MN006","433","19480114","1","-999","5"
"RSF_MN006","433","19480115","8","-999","5"
"RSF_MN006","433","19480116","7","-999","5"
"RSF_MN006","433","19480117","0","-999","5"
"RSF_MN006","433","19480118","7","-999","5"
"RSF_MN006","433","19480119","0","-999","5"
"RSF_MN006","433","19480120","0","-999","5"
"RSF_MN006","433","19480121","0","-999","5"
"RSF_MN006","433","19480122","7","-999","5"
"RSF_MN006","433","19480123","7","-999","5"
"RSF_MN006","433","19480124","0","-999","5"
"RSF_MN006","433","19480125","0","-999","5"
"RSF_MN006","433","19480126","0","-999","5"
"RSF_MN006","433","19480127","0","-999","5"
"RSF_MN006","433","19480128","1","-999","5"
"RSF_MN006","433","19480129","1","-999","5"
"RSF_MN006","433","19480130","1","-999","5"
"RSF_MN006","433","19480131","1","-999","5"
"RSF_MN006","433","19480201","1","-999","5"
"RSF_MN006","433","19480202","1","-999","5"
"RSF_MN006","433","19480203","1","-999","5"
"RSF_MN006","433","19480204","1","-999","5"
"RSF_MN006","433","19480205","1","-999","5"
"RSF_MN006","433","19480206","1","-999","5"
"RSF_MN006","433","19480207","8","-999","5"
"RSF_MN006","433","19480208","1","-999","5"
"RSF_MN006","433","19480209","1","-999","5"
"RSF_MN006","433","19480210","1","-999","5"
"RSF_MN006","433","19480211","1","-999","5"
"RSF_MN006","433","19480212","1","-999","5"
"RSF_MN006","433","19480213","1","-999","5"
"RSF_MN006","433","19480214","0","-999","5"
"RSF_MN006","433","19480215","8","-999","5"
"RSF_MN006","433","19480216","7","-999","5"
"RSF_MN006","433","19480217","7","-999","5"
"RSF_MN006","433","19480218","7","-999","5"
"RSF_MN006","433","19480219","7","-999","5"
"RSF_MN006","433","19480220","0","-999","5"
"RSF_MN006","433","19480221","0","-999","5"
"RSF_MN006","433","19480222","7","-999","5"
"RSF_MN006","433","19480223","8","-999","5"
"RSF_MN006","433","19480224","0","-999","5"
"RSF_MN006","433","19480225","7","-999","5"
"RSF_MN006","433","19480226","1","-999","5"
"RSF_MN006","433","19480227","0","-999","5"
"RSF_MN006","433","19480228","0","-999","5"
"RSF_MN006","433","19480229","0","-999","5"
"RSF_MN006","433","19480301","0","-999","5"
"RSF_MN006","433","19480302","0","-999","5"
"RSF_MN006","433","19480303","0","-999","5"
"RSF_MN006","433","19480304","0","-999","5"
"RSF_MN006","433","19480305","0","-999","5"
"RSF_MN006","433","19480306","0","-999","5"
"RSF_MN006","433","19480307","0","-999","5"
"RSF_MN006","433","19480308","1","-999","5"
"RSF_MN006","433","19480309","1","-999","5"
"RSF_MN006","433","19480310","1","-999","5"
"RSF_MN006","433","19480311","1","-999","5"
"RSF_MN006","433","19480312","1","-999","5"
"RSF_MN006","433","19480313","0","-999","5"
"RSF_MN006","433","19480314","0","-999","5"
"RSF_MN006","433","19480315","1","-999","5"
"RSF_MN006","433","19480316","1","-999","5"
"RSF_MN006","433","19480317","1","-999","5"
"RSF_MN006","433","19480318","1","-999","5"
"RSF_MN006","433","19480319","1","-999","5"
"RSF_MN006","433","19480320","1","-999","5"
"RSF_MN006","433","19480321","1","-999","5"
"RSF_MN006","433","19480322","1","-999","5"
"RSF_MN006","433","19480323","0","-999","5"
"RSF_MN006","433","19480324","0","-999","5"
"RSF_MN006","433","19480325","1","-999","5"
"RSF_MN006","433","19480326","0","-999","5"
"RSF_MN006","433","19480327","0","-999","5"
"RSF_MN006","433","19480328","0","-999","5"
"RSF_MN006","433","19480329","0","-999","5"
"RSF_MN006","433","19480330","0","-999","5"
"RSF_MN006","433","19480331","1","-999","5"
"RSF_MN006","433","19480401","0","-999","5"
"RSF_MN006","433","19480402","0","-999","5"
"RSF_MN006","433","19480403","1","-999","5"
"RSF_MN006","433","19480404","1","-999","5"
"RSF_MN006","433","19480405","1","-999","5"
"RSF_MN006","433","19480406","1","-999","5"
"RSF_MN006","433","19480407","1","-999","5"
"RSF_MN006","433","19480408","1","-999","5"
"RSF_MN006","433","19480409","1","-999","5"
"RSF_MN006","433","19480410","1","-999","5"
"RSF_MN006","433","19480411","1","-999","5"
"RSF_MN006","433","19480412","1","-999","5"
"RSF_MN006","433","19480413","1","-999","5"
"RSF_MN006","433","19480414","1","-999","5"
"RSF_MN006","433","19480415","0","-999","5"
"RSF_MN006","433","19480416","0","-999","5"
"RSF_MN006","433","19480417","0","-999","5"
"RSF_MN006","433","19480418","1","-999","5"
"RSF_MN006","433","19480419","0","-999","5"
"RSF_MN006","433","19480420","0","-999","5"
"RSF_MN006","433","19480421","0","-999","5"
"RSF_MN006","433","19480422","0","-999","5"
"RSF_MN006","433","19480423","0","-999","5"
"RSF_MN006","433","19480424","0","-999","5"
"RSF_MN006","433","19480425","0","-999","5"
"RSF_MN006","433","19480426","0","-999","5"
"RSF_MN006","433","19480427","1","-999","5"
"RSF_MN006","433","19480428","0","-999","5"
"RSF_MN006","433","19480429","1","-999","5"
"RSF_MN006","433","19480430","1","-999","5"
"RSF_MN006","433","19480501","0","-999","5"
"RSF_MN006","433","19480502","0","-999","5"
"RSF_MN006","433","19480503","1","-999","5"
"RSF_MN006","433","19480504","1","-999","5"
"RSF_MN006","433","19480505","0","-999","5"
"RSF_MN006","433","19480506","1","-999","5"
"RSF_MN006","433","19480507","1","-999","5"
"RSF_MN006","433","19480508","1","-999","5"
"RSF_MN006","433","19480509","0","-999","5"
"RSF_MN006","433","19480510","0","-999","5"
"RSF_MN006","433","19480511","1","-999","5"
"RSF_MN006","433","19480512","0","-999","5"
"RSF_MN006","433","19480513","0","-999","5"
"RSF_MN006","433","19480514","0","-999","5"
"RSF_MN006","433","19480515","0","-999","5"
"RSF_MN006","433","19480516","0","-999","5"
"RSF_MN006","433","19480517","0","-999","5"
"RSF_MN006","433","19480518","0","-999","5"
"RSF_MN006","433","19480519","1","-999","5"
"RSF_MN006","433","19480520","1","-999","5"
"RSF_MN006","433","19480521","1","-999","5"
"RSF_MN006","433","19480522","0","-999","5"
"RSF_MN006","433","19480523","1","-999","5"
"RSF_MN006","433","19480524","0","-999","5"
"RSF_MN006","433","19480525","0","-999","5"
"RSF_MN006","433","19480526","1","-999","5"
"RSF_MN006","433","19480527","0","-999","5"
"RSF_MN006","433","19480528","1","-999","5"
"RSF_MN006","433","19480529","1","-999","5"
"RSF_MN006","433","19480530","1","-999","5"
"RSF_MN006","433","19480531","1","-999","5"
