"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"FX_MN003","433","19740101","6.2","0","5"
"FX_MN003","433","19740102","14.4","0","5"
"FX_MN003","433","19740103","5.7","0","5"
"FX_MN003","433","19740104","9.3","0","5"
"FX_MN003","433","19740105","7.2","0","5"
"FX_MN003","433","19740106","8.8","0","5"
"FX_MN003","433","19740107","9.8","0","5"
"FX_MN003","433","19740108","8.2","0","5"
"FX_MN003","433","19740109","9.3","0","5"
"FX_MN003","433","19740110","10.3","0","5"
"FX_MN003","433","19740111","20.6","0","5"
"FX_MN003","433","19740112","19.6","0","5"
"FX_MN003","433","19740113","9.8","0","5"
"FX_MN003","433","19740114","11.8","0","5"
"FX_MN003","433","19740115","23.2","0","5"
"FX_MN003","433","19740116","20.6","0","5"
"FX_MN003","433","19740117","23.2","0","5"
"FX_MN003","433","19740118","12.9","0","5"
"FX_MN003","433","19740119","24.7","0","5"
"FX_MN003","433","19740120","18.5","0","5"
"FX_MN003","433","19740121","8.8","0","5"
"FX_MN003","433","19740122","6.7","0","5"
"FX_MN003","433","19740123","8.8","0","5"
"FX_MN003","433","19740124","11.3","0","5"
"FX_MN003","433","19740125","10.3","0","5"
"FX_MN003","433","19740126","5.7","0","5"
"FX_MN003","433","19740127","8.2","0","5"
"FX_MN003","433","19740128","12.4","0","5"
"FX_MN003","433","19740129","9.3","0","5"
"FX_MN003","433","19740130","8.2","0","5"
"FX_MN003","433","19740131","8.2","0","5"
"FX_MN003","433","19740201","9.3","0","5"
"FX_MN003","433","19740202","7.2","0","5"
"FX_MN003","433","19740203","5.1","0","5"
"FX_MN003","433","19740204","5.1","0","5"
"FX_MN003","433","19740205","9.3","0","5"
"FX_MN003","433","19740206","14.4","0","5"
"FX_MN003","433","19740207","16.5","0","5"
"FX_MN003","433","19740208","19.1","0","5"
"FX_MN003","433","19740209","19.6","0","5"
"FX_MN003","433","19740210","24.7","0","5"
"FX_MN003","433","19740211","13.9","0","5"
"FX_MN003","433","19740212","13.4","0","5"
"FX_MN003","433","19740213","8.2","0","5"
"FX_MN003","433","19740214","8.2","0","5"
"FX_MN003","433","19740215","9.3","0","5"
"FX_MN003","433","19740216","6.7","0","5"
"FX_MN003","433","19740217","6.2","0","5"
"FX_MN003","433","19740218","9.3","0","5"
"FX_MN003","433","19740219","13.9","0","5"
"FX_MN003","433","19740220","10.8","0","5"
"FX_MN003","433","19740221","8.2","0","5"
"FX_MN003","433","19740222","7.7","0","5"
"FX_MN003","433","19740223","11.8","0","5"
"FX_MN003","433","19740224","9.8","0","5"
"FX_MN003","433","19740225","10.3","0","5"
"FX_MN003","433","19740226","13.9","0","5"
"FX_MN003","433","19740227","13.4","0","5"
"FX_MN003","433","19740228","11.3","0","5"
"FX_MN003","433","19740301","14.4","0","5"
"FX_MN003","433","19740302","10.8","0","5"
"FX_MN003","433","19740303","7.2","0","5"
"FX_MN003","433","19740304","13.9","0","5"
"FX_MN003","433","19740305","13.4","0","5"
"FX_MN003","433","19740306","10.3","0","5"
"FX_MN003","433","19740307","9.8","0","5"
"FX_MN003","433","19740308","11.8","0","5"
"FX_MN003","433","19740309","13.4","0","5"
"FX_MN003","433","19740310","13.4","0","5"
"FX_MN003","433","19740311","8.8","0","5"
"FX_MN003","433","19740312","9.8","0","5"
"FX_MN003","433","19740313","7.2","0","5"
"FX_MN003","433","19740314","6.2","0","5"
"FX_MN003","433","19740315","6.2","0","5"
"FX_MN003","433","19740316","14.9","0","5"
"FX_MN003","433","19740317","18.5","0","5"
"FX_MN003","433","19740318","16.5","0","5"
"FX_MN003","433","19740319","11.3","0","5"
"FX_MN003","433","19740320","8.2","0","5"
"FX_MN003","433","19740321","11.8","0","5"
"FX_MN003","433","19740322","11.3","0","5"
"FX_MN003","433","19740323","17.5","0","5"
"FX_MN003","433","19740324","16","0","5"
"FX_MN003","433","19740325","11.3","0","5"
"FX_MN003","433","19740326","11.8","0","5"
"FX_MN003","433","19740327","9.3","0","5"
"FX_MN003","433","19740328","9.8","0","5"
"FX_MN003","433","19740329","7.7","0","5"
"FX_MN003","433","19740330","8.2","0","5"
"FX_MN003","433","19740331","8.2","0","5"
"FX_MN003","433","19740401","11.3","0","5"
"FX_MN003","433","19740402","9.3","0","5"
"FX_MN003","433","19740403","7.2","0","5"
"FX_MN003","433","19740404","10.3","0","5"
"FX_MN003","433","19740405","13.9","0","5"
"FX_MN003","433","19740406","8.8","0","5"
"FX_MN003","433","19740407","11.8","0","5"
