"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"FM_MN003","433","19740101","2.4","4","10"
"FM_MN003","433","19740102","4.3","4","10"
"FM_MN003","433","19740103","2.7","4","10"
"FM_MN003","433","19740104","2.6","4","10"
"FM_MN003","433","19740105","2.9","4","10"
"FM_MN003","433","19740106","4.3","4","10"
"FM_MN003","433","19740107","4.7","4","10"
"FM_MN003","433","19740108","2.9","4","10"
"FM_MN003","433","19740109","4.4","4","10"
"FM_MN003","433","19740110","4.4","4","10"
"FM_MN003","433","19740111","6","4","10"
"FM_MN003","433","19740112","4.8","4","10"
"FM_MN003","433","19740113","4","4","10"
"FM_MN003","433","19740114","4.7","4","10"
"FM_MN003","433","19740115","5.9","4","10"
"FM_MN003","433","19740116","6.7","4","10"
"FM_MN003","433","19740117","10.5","4","10"
"FM_MN003","433","19740118","4.6","4","10"
"FM_MN003","433","19740119","9.1","4","10"
"FM_MN003","433","19740120","8.3","4","10"
"FM_MN003","433","19740121","4.2","4","10"
"FM_MN003","433","19740122","2.4","4","10"
"FM_MN003","433","19740123","3.3","4","10"
"FM_MN003","433","19740124","5","4","10"
"FM_MN003","433","19740125","4.8","4","10"
"FM_MN003","433","19740126","2.7","4","10"
"FM_MN003","433","19740127","3.7","4","10"
"FM_MN003","433","19740128","3.9","4","10"
"FM_MN003","433","19740129","4.4","4","10"
"FM_MN003","433","19740130","3.3","4","10"
"FM_MN003","433","19740131","3.3","4","10"
"FM_MN003","433","19740201","2.8","4","10"
"FM_MN003","433","19740202","3","4","10"
"FM_MN003","433","19740203","1.7","4","10"
"FM_MN003","433","19740204","1.3","4","10"
"FM_MN003","433","19740205","3.7","4","10"
"FM_MN003","433","19740206","3.5","4","10"
"FM_MN003","433","19740207","7.4","4","10"
"FM_MN003","433","19740208","8.6","4","10"
"FM_MN003","433","19740209","7","4","10"
"FM_MN003","433","19740210","7.9","4","10"
"FM_MN003","433","19740211","6","4","10"
"FM_MN003","433","19740212","5.4","4","10"
"FM_MN003","433","19740213","2.3","4","10"
"FM_MN003","433","19740214","2.4","4","10"
"FM_MN003","433","19740215","3.5","4","10"
"FM_MN003","433","19740216","2.9","4","10"
"FM_MN003","433","19740217","3","4","10"
"FM_MN003","433","19740218","3.4","4","10"
"FM_MN003","433","19740219","6.1","4","10"
"FM_MN003","433","19740220","3.3","4","10"
"FM_MN003","433","19740221","3.7","4","10"
"FM_MN003","433","19740222","3.4","4","10"
"FM_MN003","433","19740223","4.3","4","10"
"FM_MN003","433","19740224","4.2","4","10"
"FM_MN003","433","19740225","4.5","4","10"
"FM_MN003","433","19740226","4","4","10"
"FM_MN003","433","19740227","4.9","4","10"
"FM_MN003","433","19740228","5.1","4","10"
"FM_MN003","433","19740301","5.4","4","10"
"FM_MN003","433","19740302","4.7","4","10"
"FM_MN003","433","19740303","2.7","4","10"
"FM_MN003","433","19740304","5.5","4","10"
"FM_MN003","433","19740305","6","4","10"
"FM_MN003","433","19740306","4.6","4","10"
"FM_MN003","433","19740307","4.3","4","10"
"FM_MN003","433","19740308","4.7","4","10"
"FM_MN003","433","19740309","5.3","4","10"
"FM_MN003","433","19740310","4.6","4","10"
"FM_MN003","433","19740311","4.8","4","10"
"FM_MN003","433","19740312","3.8","4","10"
"FM_MN003","433","19740313","2.6","4","10"
"FM_MN003","433","19740314","1.4","4","10"
"FM_MN003","433","19740315","2","4","10"
"FM_MN003","433","19740316","4.8","4","10"
"FM_MN003","433","19740317","6.2","4","10"
"FM_MN003","433","19740318","5.5","4","10"
"FM_MN003","433","19740319","3.7","4","10"
"FM_MN003","433","19740320","2.5","4","10"
"FM_MN003","433","19740321","3.8","4","10"
"FM_MN003","433","19740322","3.6","4","10"
"FM_MN003","433","19740323","7.9","4","10"
"FM_MN003","433","19740324","6.7","4","10"
"FM_MN003","433","19740325","5.3","4","10"
"FM_MN003","433","19740326","5.3","4","10"
"FM_MN003","433","19740327","4.5","4","10"
"FM_MN003","433","19740328","4.8","4","10"
"FM_MN003","433","19740329","3.2","4","10"
"FM_MN003","433","19740330","1.8","4","10"
"FM_MN003","433","19740331","3.2","4","10"
"FM_MN003","433","19740401","4.3","4","10"
"FM_MN003","433","19740402","3.2","4","10"
"FM_MN003","433","19740403","2.9","4","10"
"FM_MN003","433","19740404","4.4","4","10"
"FM_MN003","433","19740405","4.2","4","10"
"FM_MN003","433","19740406","3.7","4","10"
"FM_MN003","433","19740407","3.6","4","10"
"FM_MN003","433","19740408","2.5","4","10"
"FM_MN003","433","19740409","3.3","4","10"
"FM_MN003","433","19740410","1","4","10"
"FM_MN003","433","19740411","2.5","4","10"
"FM_MN003","433","19740412","5.7","4","10"
"FM_MN003","433","19740413","4.8","4","10"
"FM_MN003","433","19740414","2.5","4","10"
"FM_MN003","433","19740415","3.5","4","10"
"FM_MN003","433","19740416","5.5","4","10"
"FM_MN003","433","19740417","3.9","4","10"
"FM_MN003","433","19740418","3","4","10"
"FM_MN003","433","19740419","2.6","4","10"
"FM_MN003","433","19740420","4.3","4","10"
"FM_MN003","433","19740421","3.3","4","10"
"FM_MN003","433","19740422","3.6","4","10"
"FM_MN003","433","19740423","6.1","4","10"
"FM_MN003","433","19740424","3.1","4","10"
"FM_MN003","433","19740425","5.3","4","10"
"FM_MN003","433","19740426","5.8","4","10"
"FM_MN003","433","19740427","4","4","10"
"FM_MN003","433","19740428","5.9","4","10"
"FM_MN003","433","19740429","5.3","4","10"
"FM_MN003","433","19740430","2.8","4","10"
"FM_MN003","433","19740501","4.5","4","10"
"FM_MN003","433","19740502","4.2","4","10"
"FM_MN003","433","19740503","2.6","4","10"
"FM_MN003","433","19740504","5.9","4","10"
"FM_MN003","433","19740505","6.1","4","10"
"FM_MN003","433","19740506","4.6","4","10"
"FM_MN003","433","19740507","4.4","4","10"
"FM_MN003","433","19740508","3.6","4","10"
"FM_MN003","433","19740509","3.1","4","10"
"FM_MN003","433","19740510","3","4","10"
"FM_MN003","433","19740511","3.3","4","10"
"FM_MN003","433","19740512","2.9","4","10"
"FM_MN003","433","19740513","4.7","4","10"
"FM_MN003","433","19740514","3.6","4","10"
"FM_MN003","433","19740515","4.7","4","10"
"FM_MN003","433","19740516","4.2","4","10"
"FM_MN003","433","19740517","4.1","4","10"
"FM_MN003","433","19740518","3","4","10"
"FM_MN003","433","19740519","1.1","4","10"
"FM_MN003","433","19740520","3.9","4","10"
"FM_MN003","433","19740521","4.7","4","10"
"FM_MN003","433","19740522","3.2","4","10"
"FM_MN003","433","19740523","3.5","4","10"
"FM_MN003","433","19740524","3.6","4","10"
"FM_MN003","433","19740525","2.8","4","10"
"FM_MN003","433","19740526","8","4","10"
"FM_MN003","433","19740527","4.5","4","10"
"FM_MN003","433","19740528","3.2","4","10"
"FM_MN003","433","19740529","4.7","4","10"
"FM_MN003","433","19740530","4","4","10"
"FM_MN003","433","19740531","3.5","4","10"
"FM_MN003","433","19740601","2.7","4","10"
"FM_MN003","433","19740602","3","4","10"
"FM_MN003","433","19740603","4.7","4","10"
"FM_MN003","433","19740604","4.9","4","10"
"FM_MN003","433","19740605","3","4","10"
"FM_MN003","433","19740606","4.7","4","10"
"FM_MN003","433","19740607","5.9","4","10"
"FM_MN003","433","19740608","3.7","4","10"
"FM_MN003","433","19740609","4.1","4","10"
"FM_MN003","433","19740610","2.1","4","10"
"FM_MN003","433","19740611","4","4","10"
"FM_MN003","433","19740612","5.1","4","10"
"FM_MN003","433","19740613","7.1","4","10"
"FM_MN003","433","19740614","4.4","4","10"
"FM_MN003","433","19740615","3.4","4","10"
"FM_MN003","433","19740616","1.9","4","10"
"FM_MN003","433","19740617","2.2","4","10"
"FM_MN003","433","19740618","3.7","4","10"
"FM_MN003","433","19740619","5.5","4","10"
"FM_MN003","433","19740620","4.6","4","10"
"FM_MN003","433","19740621","3.5","4","10"
"FM_MN003","433","19740622","2.3","4","10"
"FM_MN003","433","19740623","2.7","4","10"
"FM_MN003","433","19740624","2.9","4","10"
"FM_MN003","433","19740625","2.9","4","10"
"FM_MN003","433","19740626","2.9","4","10"
"FM_MN003","433","19740627","2.5","4","10"
"FM_MN003","433","19740628","1.4","4","10"
"FM_MN003","433","19740629","2","4","10"
"FM_MN003","433","19740630","2.5","4","10"
"FM_MN003","433","19740701","4.1","4","10"
"FM_MN003","433","19740702","7.7","4","10"
"FM_MN003","433","19740703","4.5","4","10"
"FM_MN003","433","19740704","7.4","4","10"
"FM_MN003","433","19740705","4.9","4","10"
"FM_MN003","433","19740706","5.7","4","10"
"FM_MN003","433","19740707","7.1","4","10"
"FM_MN003","433","19740708","7.2","4","10"
"FM_MN003","433","19740709","4","4","10"
"FM_MN003","433","19740710","7.1","4","10"
"FM_MN003","433","19740711","4.9","4","10"
"FM_MN003","433","19740712","4.4","4","10"
"FM_MN003","433","19740713","2.6","4","10"
"FM_MN003","433","19740714","4.7","4","10"
"FM_MN003","433","19740715","4","4","10"
"FM_MN003","433","19740716","4","4","10"
"FM_MN003","433","19740717","3.4","4","10"
"FM_MN003","433","19740718","3.7","4","10"
"FM_MN003","433","19740719","6.5","4","10"
"FM_MN003","433","19740720","4.4","4","10"
"FM_MN003","433","19740721","5.4","4","10"
"FM_MN003","433","19740722","3.2","4","10"
"FM_MN003","433","19740723","4.2","4","10"
"FM_MN003","433","19740724","3","4","10"
"FM_MN003","433","19740725","6.3","4","10"
"FM_MN003","433","19740726","6.3","4","10"
"FM_MN003","433","19740727","5.4","4","10"
"FM_MN003","433","19740728","4.6","4","10"
"FM_MN003","433","19740729","6.5","4","10"
"FM_MN003","433","19740730","4.5","4","10"
"FM_MN003","433","19740731","3.2","4","10"
"FM_MN003","433","19740801","4.7","4","10"
"FM_MN003","433","19740802","3.4","4","10"
"FM_MN003","433","19740803","2","4","10"
"FM_MN003","433","19740804","3.1","4","10"
"FM_MN003","433","19740805","6.5","4","10"
"FM_MN003","433","19740806","5","4","10"
"FM_MN003","433","19740807","1.9","4","10"
"FM_MN003","433","19740808","3.1","4","10"
"FM_MN003","433","19740809","4.3","4","10"
"FM_MN003","433","19740810","3.6","4","10"
"FM_MN003","433","19740811","3.5","4","10"
"FM_MN003","433","19740812","3.8","4","10"
"FM_MN003","433","19740813","3.8","4","10"
"FM_MN003","433","19740814","2.1","4","10"
"FM_MN003","433","19740815","2.8","4","10"
"FM_MN003","433","19740816","3.7","4","10"
"FM_MN003","433","19740817","5","4","10"
"FM_MN003","433","19740818","2.5","4","10"
"FM_MN003","433","19740819","3.4","4","10"
"FM_MN003","433","19740820","4.1","4","10"
"FM_MN003","433","19740821","2.6","4","10"
"FM_MN003","433","19740822","0.9","4","10"
"FM_MN003","433","19740823","1.6","4","10"
"FM_MN003","433","19740824","0.9","4","10"
"FM_MN003","433","19740825","1.9","4","10"
"FM_MN003","433","19740826","3.6","4","10"
"FM_MN003","433","19740827","3.3","4","10"
"FM_MN003","433","19740828","3.4","4","10"
"FM_MN003","433","19740829","3.7","4","10"
"FM_MN003","433","19740830","3.1","4","10"
"FM_MN003","433","19740831","4.1","4","10"
"FM_MN003","433","19740901","4","4","10"
"FM_MN003","433","19740902","3.4","4","10"
"FM_MN003","433","19740903","4","4","10"
"FM_MN003","433","19740904","4","4","10"
"FM_MN003","433","19740905","6.1","4","10"
"FM_MN003","433","19740906","5.1","4","10"
"FM_MN003","433","19740907","4.2","4","10"
"FM_MN003","433","19740908","6","4","10"
"FM_MN003","433","19740909","4.2","4","10"
"FM_MN003","433","19740910","5.3","4","10"
"FM_MN003","433","19740911","2.3","4","10"
"FM_MN003","433","19740912","3.4","4","10"
"FM_MN003","433","19740913","3.5","4","10"
"FM_MN003","433","19740914","2.2","4","10"
"FM_MN003","433","19740915","2.5","4","10"
"FM_MN003","433","19740916","3.8","4","10"
"FM_MN003","433","19740917","1.9","4","10"
"FM_MN003","433","19740918","2.8","4","10"
"FM_MN003","433","19740919","1.5","4","10"
"FM_MN003","433","19740920","3.2","4","10"
"FM_MN003","433","19740921","2.7","4","10"
"FM_MN003","433","19740922","4.4","4","10"
"FM_MN003","433","19740923","5.1","4","10"
"FM_MN003","433","19740924","6.7","4","10"
"FM_MN003","433","19740925","4.5","4","10"
"FM_MN003","433","19740926","2.6","4","10"
"FM_MN003","433","19740927","4.9","4","10"
"FM_MN003","433","19740928","4.9","4","10"
"FM_MN003","433","19740929","3.6","4","10"
"FM_MN003","433","19740930","2.3","4","10"
"FM_MN003","433","19741001","1.2","4","10"
"FM_MN003","433","19741002","3","4","10"
"FM_MN003","433","19741003","2.7","4","10"
"FM_MN003","433","19741004","3.3","4","10"
"FM_MN003","433","19741005","5.9","4","10"
"FM_MN003","433","19741006","5.4","4","10"
"FM_MN003","433","19741007","4","4","10"
"FM_MN003","433","19741008","1.9","4","10"
"FM_MN003","433","19741009","4.2","4","10"
"FM_MN003","433","19741010","7.9","4","10"
"FM_MN003","433","19741011","4.3","4","10"
"FM_MN003","433","19741012","3.1","4","10"
"FM_MN003","433","19741013","1.4","4","10"
"FM_MN003","433","19741014","2.4","4","10"
"FM_MN003","433","19741015","3.5","4","10"
"FM_MN003","433","19741016","3.5","4","10"
"FM_MN003","433","19741017","5.4","4","10"
"FM_MN003","433","19741018","3.3","4","10"
"FM_MN003","433","19741019","5.5","4","10"
"FM_MN003","433","19741020","2.7","4","10"
"FM_MN003","433","19741021","4.5","4","10"
"FM_MN003","433","19741022","5.4","4","10"
"FM_MN003","433","19741023","4.8","4","10"
"FM_MN003","433","19741024","4.1","4","10"
"FM_MN003","433","19741025","7.5","4","10"
"FM_MN003","433","19741026","6.8","4","10"
"FM_MN003","433","19741027","7.1","4","10"
"FM_MN003","433","19741028","6.5","4","10"
"FM_MN003","433","19741029","4.8","4","10"
"FM_MN003","433","19741030","2.1","4","10"
"FM_MN003","433","19741031","5.6","4","10"
"FM_MN003","433","19741101","8.6","4","10"
"FM_MN003","433","19741102","5.1","4","10"
"FM_MN003","433","19741103","3.3","4","10"
"FM_MN003","433","19741104","1.1","4","10"
"FM_MN003","433","19741105","2.7","4","10"
"FM_MN003","433","19741106","2.3","4","10"
"FM_MN003","433","19741107","2.6","4","10"
"FM_MN003","433","19741108","2","4","10"
"FM_MN003","433","19741109","4.6","4","10"
"FM_MN003","433","19741110","5","4","10"
"FM_MN003","433","19741111","6.2","4","10"
"FM_MN003","433","19741112","5.3","4","10"
"FM_MN003","433","19741113","5.3","4","10"
"FM_MN003","433","19741114","5.2","4","10"
"FM_MN003","433","19741115","4.9","4","10"
"FM_MN003","433","19741116","5.1","4","10"
"FM_MN003","433","19741117","4.1","4","10"
"FM_MN003","433","19741118","3.3","4","10"
"FM_MN003","433","19741119","5.9","4","10"
"FM_MN003","433","19741120","3.6","4","10"
"FM_MN003","433","19741121","1.4","4","10"
"FM_MN003","433","19741122","3.3","4","10"
"FM_MN003","433","19741123","4.8","4","10"
"FM_MN003","433","19741124","4.6","4","10"
"FM_MN003","433","19741125","5.6","4","10"
"FM_MN003","433","19741126","6.5","4","10"
"FM_MN003","433","19741127","6.4","4","10"
"FM_MN003","433","19741128","8.1","4","10"
"FM_MN003","433","19741129","8","4","10"
"FM_MN003","433","19741130","5.4","4","10"
"FM_MN003","433","19741201","3.2","4","10"
"FM_MN003","433","19741202","6.2","4","10"
"FM_MN003","433","19741203","5.8","4","10"
"FM_MN003","433","19741204","3.8","4","10"
"FM_MN003","433","19741205","9.1","4","10"
"FM_MN003","433","19741206","6.1","4","10"
"FM_MN003","433","19741207","6.8","4","10"
"FM_MN003","433","19741208","4.5","4","10"
"FM_MN003","433","19741209","5","4","10"
"FM_MN003","433","19741210","6.1","4","10"
"FM_MN003","433","19741211","6.6","4","10"
"FM_MN003","433","19741212","7.5","4","10"
"FM_MN003","433","19741213","4.4","4","10"
"FM_MN003","433","19741214","4.6","4","10"
"FM_MN003","433","19741215","4.4","4","10"
"FM_MN003","433","19741216","5.5","4","10"
"FM_MN003","433","19741217","7.8","4","10"
"FM_MN003","433","19741218","10.2","4","10"
"FM_MN003","433","19741219","8.1","4","10"
"FM_MN003","433","19741220","6.8","4","10"
"FM_MN003","433","19741221","6.3","4","10"
"FM_MN003","433","19741222","4.6","4","10"
"FM_MN003","433","19741223","3.3","4","10"
"FM_MN003","433","19741224","4.4","4","10"
"FM_MN003","433","19741225","6.7","4","10"
"FM_MN003","433","19741226","7.9","4","10"
"FM_MN003","433","19741227","5.6","4","10"
"FM_MN003","433","19741228","8.1","4","10"
"FM_MN003","433","19741229","10.4","4","10"
"FM_MN003","433","19741230","8.4","4","10"
"FM_MN003","433","19741231","4","4","10"
"FM_MN003","433","19750101","6.7","4","10"
"FM_MN003","433","19750102","3","4","10"
"FM_MN003","433","19750103","3","4","10"
"FM_MN003","433","19750104","8.9","4","10"
"FM_MN003","433","19750105","9.1","4","10"
"FM_MN003","433","19750106","11","4","10"
"FM_MN003","433","19750107","8.2","4","10"
"FM_MN003","433","19750108","6.3","4","10"
"FM_MN003","433","19750109","4.8","4","10"
"FM_MN003","433","19750110","7.4","4","10"
"FM_MN003","433","19750111","5.2","4","10"
"FM_MN003","433","19750112","4.6","4","10"
"FM_MN003","433","19750113","4.7","4","10"
"FM_MN003","433","19750114","4.5","4","10"
"FM_MN003","433","19750115","3.9","4","10"
"FM_MN003","433","19750116","3.4","4","10"
"FM_MN003","433","19750117","4.4","4","10"
"FM_MN003","433","19750118","3.6","4","10"
"FM_MN003","433","19750119","2.8","4","10"
"FM_MN003","433","19750120","3.5","4","10"
"FM_MN003","433","19750121","5.2","4","10"
"FM_MN003","433","19750122","6.9","4","10"
"FM_MN003","433","19750123","6.3","4","10"
"FM_MN003","433","19750124","7.7","4","10"
"FM_MN003","433","19750125","5.6","4","10"
"FM_MN003","433","19750126","8.7","4","10"
"FM_MN003","433","19750127","4.7","4","10"
"FM_MN003","433","19750128","4.8","4","10"
"FM_MN003","433","19750129","5.2","4","10"
"FM_MN003","433","19750130","3.1","4","10"
"FM_MN003","433","19750131","2.5","4","10"
"FM_MN003","433","19750201","3","4","10"
"FM_MN003","433","19750202","4.3","4","10"
"FM_MN003","433","19750203","4.3","4","10"
"FM_MN003","433","19750204","3.2","4","10"
"FM_MN003","433","19750205","2.2","4","10"
"FM_MN003","433","19750206","1.5","4","10"
"FM_MN003","433","19750207","3.3","4","10"
"FM_MN003","433","19750208","1.2","4","10"
"FM_MN003","433","19750209","1.1","4","10"
"FM_MN003","433","19750210","1.2","4","10"
"FM_MN003","433","19750211","1.4","4","10"
"FM_MN003","433","19750212","2.9","4","10"
"FM_MN003","433","19750213","4.7","4","10"
"FM_MN003","433","19750214","5.2","4","10"
"FM_MN003","433","19750215","1.4","4","10"
"FM_MN003","433","19750216","2.8","4","10"
"FM_MN003","433","19750217","4.6","4","10"
"FM_MN003","433","19750218","4.4","4","10"
"FM_MN003","433","19750219","2.8","4","10"
"FM_MN003","433","19750220","1.9","4","10"
"FM_MN003","433","19750221","1.9","4","10"
"FM_MN003","433","19750222","3.8","4","10"
"FM_MN003","433","19750223","1.3","4","10"
"FM_MN003","433","19750224","1.6","4","10"
"FM_MN003","433","19750225","5.4","4","10"
"FM_MN003","433","19750226","2.1","4","10"
"FM_MN003","433","19750227","2.8","4","10"
"FM_MN003","433","19750228","3.8","4","10"
"FM_MN003","433","19750301","2.2","4","10"
"FM_MN003","433","19750302","1.8","4","10"
"FM_MN003","433","19750303","3.3","4","10"
"FM_MN003","433","19750304","2.4","4","10"
"FM_MN003","433","19750305","3.1","4","10"
"FM_MN003","433","19750306","2.7","4","10"
"FM_MN003","433","19750307","4.6","4","10"
"FM_MN003","433","19750308","5.8","4","10"
"FM_MN003","433","19750309","3.3","4","10"
"FM_MN003","433","19750310","2.9","4","10"
"FM_MN003","433","19750311","1.9","4","10"
"FM_MN003","433","19750312","4.5","4","10"
"FM_MN003","433","19750313","5.2","4","10"
"FM_MN003","433","19750314","5.4","4","10"
"FM_MN003","433","19750315","4.1","4","10"
